strain_host,latinname,host_category,order,domesticstatus,corrected_host,
africangoose,Anser cygnoides domesticus,goose,anseriformes,unknown,africangoose,
africancrownedcrane,Balearica regulorum,crane,gruiformes,unknown,africancrownedcrane,
amazonparrot,Amazona,parrot,psittaciformes,unknown,amazonparrot,
americanblackduck,Anas rubripes,duck,anseriformes,wild,americanblackduck,
americanbluewingedteal,Spatula discors,duck,anseriformes,wild,bluewingedteal,
americanbuffgoose,Anser anser domesticus,goose,anseriformes,domestic,americanbuffgoose,
americancoot,Fulica americana,crane,gruiformes,wild,americancoot,
americancrow,Corvus brachyrhynchos,passerine,passeriformes,wild,americancrow,
americangreenwingedteal,Anas carolinensis,duck,anseriformes,wild,greenwingedteal,
americangoshawk,Astur atricapillus,raptor,accipitriformes,wild,americangoshawk,
americankestrel,Falco sparverius,raptor,falconiformes,wild,americankestrel,
americanpelican,Pelecanus erythrorhynchos,pelican,pelecaniformes,wild,americanwhitepelican,
americanraven,Corvus corax ,passerine,passeriformes,wild,commonraven,
americanrobin,Turdus migratorius,passerine,passeriformes,wild,americanrobin,
americanwhitepelican,Pelecanus erythrorhynchos,pelican,pelecaniformes,wild,americanwhitepelican,
americanwigeon,Mareca americana,duck,anseriformes,wild,americanwigeon,
americanwoodstork,Mycteria americana,wader,ciconiiformes,wild,americanwoodstork,
anasplatyrhynchos,Anas platyrhynchos,duck,anseriformes,wild,mallard,
anatinae,Anatidae,duck,anseriformes,wild,wildduck,
arctictern,Sterna paradisaea,tern,charadriiformes,wild,arctictern,
atlanticpuffin,Fratercula arctica,seabird,charadriiformes,wild,atlanticpuffin,
aves,,,unknown,unknown,aves,
avian,,,unknown,unknown,avian,
backyardbird,,,unknown,domestic,backyardbird,
baerspochard,Aythya baeri,duck,anseriformes,unknown,baerspochard,
baikalteal,Sibirionetta formosa,duck,anseriformes,wild,baikalteal,
baldeagle,Haliaeetus leucocephalus,raptor,accipitriformes,wild,baldeagle,
barheadedgoose,Anser indicus,goose,anseriformes,wild,barheadedgoose,
barnowl,Tyto alba,owl,strigiformes,wild,barnowl,
barnswallow,Hirundo rustica,passerine,passeriformes,wild,barnswallow,
barredowl,Strix varia,owl,strigiformes,wild,barredowl,
barrowsgoldeneye,Bucephala islandica,duck,anseriformes,wild,barrowsgoldeneye,
blackbelliedplover,Pluvialis squatarola,wader,charadriiformes,wild,blackbelliedplover,
blackbilledmagpie,Pica hudsonia,passerine,passeriformes,wild,blackbilledmagpie,
blackbird,Turdus merula,passerine,passeriformes,wild,blackbird,
blackbrant,Branta bernicla nigricans,goose,anseriformes,wild,blackbrant,black brant is a subspecies
blackcrownednightheron,Nycticorax nycticorax,heron,pelecaniformes,wild,blackcrownednightheron,
blackleggedkittiwake,Rissa tridactyla,gull,charadriiformes,wild,blackleggedkittiwake,
blackneckswan,Cygnus melancoryphus,swan,anseriformes,unknown,blackneckswan,
blackscoter,Melanitta americana,duck,anseriformes,wild,blackscoter,
blackskimmer,Rynchops niger,seabird,charadriiformes,wild,blackskimmer,
blackswan,Cygnus atratus,swan,anseriformes,wild,blackswan,
blackswift,Cypseloides niger,swift,apodiformes,wild,blackswift,
blackturnstone,Arenaria melanocephala,wader,charadriiformes,wild,blackturnstone,
blackvulture,Coragyps atratus,raptor,accipitriformes,wild,blackvulture,
bluejay,Cyanocitta cristata,passerine,passeriformes,wild,bluejay,
bluewingedteal,Spatula discors,duck,anseriformes,wild,bluewingedteal,
bonapartesgull,Chroicocephalus philadelphia,gull,charadriiformes,wild,bonapartesgull,
brant,Branta bernicla,goose,anseriformes,wild,brant,
brandtgoose,Branta bernicla,goose,anseriformes,wild,brant,
brazilianteal,Amazonetta brasiliensis,duck,anseriformes,unknown,brazilianteal,
brewersblackbird,Euphagus cyanocephalus,passerine,passeriformes,wild,brewersblackbird,
broadwingedhawk,Buteo platypterus,raptor,accipitriformes,wild,broadwingedhawk,
broilerbreederschicken,Gallus gallus,chicken,galliformes,domestic,chicken,
broilerchicken,Gallus gallus,chicken,galliformes,domestic,chicken,
brownpelican,Pelecanus occidentalis,pelican,pelecaniformes,wild,brownpelican,
bufflehead,Bucephala albeola,duck,anseriformes,wild,bufflehead,
cacklinggoose,Branta hutchinsii,goose,anseriformes,wild,cacklinggoose,
californiacondor,Gymnogyps californianus,raptor,accipitriformes,wild,californiacondor,
californiagull,Larus californicus,gull,charadriiformes,wild,californiagull,
canadagoose,Branta canadensis,goose,anseriformes,wild,canadagoose,
canvasback,Aythya valisineria,duck,anseriformes,wild,canvasback,
capeteal,Anas capensis,duck,anseriformes,unknown,capeteal,
cascadeduck,,duck,anseriformes,domestic,cascadeduck,
caspiantern,Hydroprogne caspia,tern,charadriiformes,wild,caspiantern,
catalinamacaw,Ara ararauna or Ara macao,parrot,psittaciformes,unknown,catalinamacaw,hybrid
cattleegret,Ardea ibis,wader,pelecaniformes,wild,cattleegret,
chicken,Gallus gallus,chicken,galliformes,domestic,chicken,
chileanflamingo,Phoenicopterus chilensis,wader,phoenicopteriformes,unknown,chileanflamingo,
chineseringneckpheasant,Phasianus colchicus,pheasant,galliformes,wild,ringneckpheasant,
cinnamonteal,Spatula cyanoptera,duck,anseriformes,wild,cinnamonteal,
commonbarnowl,Tyto alba,owl,strigiformes,wild,barnowl,
commoneider,Somateria mollissima,duck,anseriformes,wild,commoneider,
commoneiders,Somateria mollissima,duck,anseriformes,wild,commoneider,
commongoldeneye,Bucephala clangula,duck,anseriformes,wild,commongoldeneye,
commongrackle,Quiscalus quiscula,passerine,passeriformes,wild,commongrackle,
commonloon,Gavia immer,duck,gaviiformes,wild,commonloon,
commonmerganser,Mergus merganser,duck,anseriformes,wild ,commonmerganser,
commonmurre,Uria aalge,gull,charadriiformes,wild,commonmurre,
commonraven,Corvus corax,passerine,passeriformes,wild,commonraven,
commontern,Sterna hirundo,tern,charadriiformes,wild,commontern,
coopershawk,Accipiter cooperii,raptor,accipitriformes,wild,coopershawk,
coopersshawk,Accipiter cooperii,raptor,accipitriformes,wild,coopershawk,
cormorant,Phalacrocoracidae,cormorant,suliformes,wild,cormorant,
corvusossifragus,Corvus ossifragus,crow,passeriformes,wild,fishcrow,
crane,Gruidae,crane,gruiformes,wild,crane,
crestedcaracara,Caracara plancus,raptor,falconiformes,wild,crestedcaracara,
crestedscreamer,Chauna torquata,wader,anseriformes,unknown,crestedscreamer,
crow,Corvus brachyrhynchos,passerine,passeriformes,wild,crow,
dalmatianpelican,Pelecanus crispus,pelican,pelecaniformes,unknown,dalmatianpelican,
darkeyedjunco,Junco hyemalis,passerine,passeriformes,wild,darkeyedjunco,
domesticduck,,duck,anseriformes,domestic,domesticduck,
domesticgoose,Anser anser domesticus or anser cygnoides domesticus,goose,anseriformes,domestic,domesticgoose,
domesticturkey,Meleagris gallopavo,turkey,galliformes,domestic,domesticturkey,
doublecrestedcormorant,Phalacrocorax auritus,cormorant,suliformes,wild,doublecrestedcormorant,
dove,,dove,columbiformes,wild,dove,
dovekie,Alle alle,seabird,charadriiformes,wild,dovekie,
duck,,duck,anseriformes,unknown,duck,
dunlin,Calidris alpina,wader,charadriiformes,wild,dunlin,
eagle,,raptor,accipitriformes,wild,eagle,
earedgrebe,Podiceps nigricollis,grebe,podicipediformes,wild,earedgrebe,
easternscreechowl,Megascops asio,owl,strigiformes,wild,easternscreechowl,
egyptiangoose,Alopochen aegyptiaca,goose,anseriformes,wild,egyptiangoose,introduced
eider,Somateria mollissima,duck,anseriformes,wild,commoneider,
embdengoose,Anser anser domesticus or anser cygnoides domesticus,goose,anseriformes,domestic,embdengoose,
emu,Dromaius novaehollandiae,emu,casuariiformes,domestic,emu,
eurasiancollareddove,Streptopelia decaocto,dove,columbiformes,wild,eurasiancollareddove,introduced
europeanstarling,Sturnus vulgaris,passerine,passeriformes,wild,europeanstarling,
falcon,Falco ,raptor,falconiformes,wild,falcon,
falcorusticolus,Falco rusticolus,raptor,falconiformes,wild,gyrfalcon,
fancychicken,Gallus gallus,chicken,galliformes,domestic,chicken,
ferruginoushawk,Buteo regalis,raptor,accipitriformes,wild,ferruginoushawk,
finch,Fringillidae,passerine,passeriformes,wild,finch,
fishcrow,Corvus ossifragus,crow,passeriformes,wild,fishcrow,
forsterstern,Sterna forsteri,tern,charadriiformes,wild,forsterstern,
franklingull,Leucophaeus pipixcan,gull,charadriiformes,wild,franklinsgull,
franklinsgull,Leucophaeus pipixcan,gull,charadriiformes,wild,franklinsgull,
fulvouswhistlingduck,Dendrocygna bicolor,duck,anseriformes,wild,fulvouswhistlingduck,
gadwall,Mareca strepera,duck,anseriformes,wild,gadwall,
gadwallduck,Mareca strepera,duck,anseriformes,wild,gadwall,
gallus,Gallus gallus,chicken,galliformes,domestic,chicken,
gallusgallus,Gallus gallus,chicken,galliformes,domestic,chicken,
gallusgallusdomesticus,Gallus gallus,chicken,galliformes,domestic,chicken,
gannet,Morus,seabird,suliformes,wild,gannet,
glaucousgull,Larus hyperboreus,gull,charadriiformes,wild,glaucousgull,
glaucouswingedgull,Larus glaucescens,gull,charadriiformes,wild,glaucouswingedgull,
glossyibis,Plegadis falcinellus,wader,pelecaniformes,wild,glossyibis,
goldeneagle,Aquila chrysaetos,raptor,accipitriformes,wild,goldeneagle,
goose,,goose,anseriformes,unknown,goose,
grackle,,passerine,passeriformes,wild,grackle,
graylaggoose,Anser anser,goose,anseriformes,unknown,greylaggoose,
greatblackbakedgull,Larus marinus,gull,charadriiformes,wild,greatblackbackedgull,
greatblackbackedgulll,Larus marinus,gull,charadriiformes,wild,greatblackbackedgull,
greatblackbackedgull,Larus marinus,gull,charadriiformes,wild,greatblackbackedgull,
greatblueheron,Ardea herodias,heron,pelecaniformes,wild,greatblueheron,
greategret,Ardea alba,heron,pelecaniformes,wild,greategret,
greaterrhea,Rhea americana,rhea,rheiformes,unknown,greaterrhea,
greatersagegrouse,Centrocercus urophasianus,groundbird,galliformes,wild,greatersagegrouse,
greaterscaup,Aythya marila,duck,anseriformes,wild,greaterscaup,
greaterwhitefrontedgoose,Anser albifrons,goose,anseriformes,wild,greaterwhitefrontedgoose,
greateryellowlegs,Tringa melanoleuca,wader,charadriiformes,wild,greateryellowlegs,
greatgreyowl,Strix nebulosa,owl,strigiformes,wild,greatgreyowl,
greathornedowl,Bubo virginianus,owl,strigiformes,wild,greathornedowl,
greatshearwater,Ardenna gravis,seabird,procellariiformes,wild,greatshearwater,
